ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
JSTTLOZ,1,TTLJSZO,,v115@ChB8GeB8IeB8AeB8FeD8Je2OYaAFLDmClcJSAVDEHB?EooRBKoAVB0+ytCsXBAAvhFtqB9nBTjB/kBalBUrB
ZJTSTOL,0,,,
TJLISZT,1,TTILJSZ,,v115@ChB8GeB8IeB8AeB8FeD8Je3KYaAFLDmClcJSAVDEHB?EooRBToAVBseNPC6OBAAvhFipBlnBxpBGoBUrBlpB
ILTOZST,0,,,
TOZJILT,0,,,
ZJTIOLT,0,,,
OLTITJS,0,,,
TZOTILJ,2,TTILJZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBpOmPCMHBAAvhFZkBtpB9nBuqBaqBTtB;v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBpOmPCMHBAAvhFZlBNpB9nBuqB6pBTtB
OSTIZLT,0,,,
ZTTSLOI,0,,,
TILOTJZ,1,TTILJZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBpCegCqOBAAvhFxuByuBlsBTpBGtBlqB
TOSJITL,0,,,
OJZITTL,0,,,
ITZTLSJ,0,,,
LITSJOT,0,,,
OTSJZLT,0,,,
TLSJZTI,0,,,
ITLZJOT,0,,,
TOJITSL,0,,,
JTSIZLO,0,,,
LSJTIZT,0,,,
OLTZITJ,0,,,
OLSIJZT,0,,,
TLSZIOT,0,,,
JOTZSLI,0,,,
ZSTOLIT,0,,,
SZLITOT,0,,,
ZTIOLJT,0,,,
ZTSIJTL,2,TTILJSZ,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBpO+tCqCBAAvhFxuB1uBlsB3qBGtBipB;v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVB0PltCsOBAAvhFVvBOpBxsB3lBCtBlpB
TTOLIJS,0,,,
LOTISJT,0,,,
TZTSJLI,0,,,
TSLZTJO,0,,,
SZLITJO,0,,,
SIOTTZJ,0,,,
TSTILZJ,0,,,
TOSZJLI,0,,,
TZLOTIS,0,,,
OTTZJIS,0,,,
JZLOTIT,0,,,
OTZIJTL,0,,,
TOTLZIJ,0,,,
SJZTOIL,0,,,
TLTZJSI,0,,,
IJSOLZT,1,TILJSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBKdFgCsOBAAvhF2uBXlBxnBTfBCoBlqB
LTTIZOJ,0,,,
JOTTZSL,0,,,
LOZTSJI,0,,,
TJLSOTZ,0,,,
LTSTOZJ,0,,,
TOJITZS,0,,,
IOSTTZJ,0,,,
SOLTTIZ,0,,,
JTSTOZI,0,,,
TSJTZIL,0,,,
ZOTLJST,0,,,
ZTOILTS,1,TTILSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBs+CMCzOBAAvhFipB9nBToBxpB3qBlpB
TISZLJO,0,,,
TZLTSOI,0,,,
LTSOTJZ,1,TTLJSZO,,v115@ChB8GeB8IeB8AeB8FeD8Je3KYaAFLDmClcJSAVDEHB?EooRBToAVBs+KxCqXBAAvhF6pB9nBTjBNlBOpBUrB
IZTJTSO,1,TTIJSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBU+dgCz/AAAvhFVvBZkB9sBToB3lBupB
SLTOJZI,0,,,
SJZTTOI,0,,,
ZTTIOSL,1,TTILSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVB0+CMCzCBAAvhFlpB9nBToBxpB3qBipB
SITTZOL,0,,,
SLTOTZI,0,,,
LTSIOJZ,0,,,
ZSTILOT,0,,,
ZLTSOIT,0,,,
TIOZLJT,0,,,
OSLJITZ,0,,,
TIOLTJS,0,,,
OSTLZTI,0,,,
JSLITOZ,0,,,
TLTOIJZ,2,TTILJZO,,v115@ChB8GeB8IeB8AeB8FeD8JetKYaAFLDmClcJSAVDEHB?EooRBUoAVBM+dgCqXBAAvhF6pBZlB9nBTjBOpBUrB;v115@ChB8GeB8IeB8AeB8FeD8JetKYaAFLDmClcJSAVDEHB?EooRBUoAVBM+dgCqXBAAvhFaqBZkB9nBTjBupBUrB
LZTSOIT,0,,,
TJTIZSO,0,,,
TLZIOTJ,0,,,
TOSLJIT,0,,,
IZJSOTT,0,,,
JZSTOTI,0,,,
ZTOJSTL,0,,,
ZILTTJS,0,,,
ISTOTLZ,1,TTILSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBpOegCzCBAAvhFxuB1uB9sBTtB3qBipB
LTOTZIS,0,,,
ZJTISTO,1,TTIJSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBK+dgCzOBAAvhFWvBZkB9sBToBfqBlqB
TTZLSJO,0,,,
SOTTZJI,0,,,
LTOISJT,0,,,
SOJITLT,0,,,
IZTLOJS,0,,,
OZJLITT,0,,,
OSITZTL,0,,,
ISJTLZT,0,,,
TJLOTSZ,0,,,
ZTSJLOI,0,,,
JOSTLZI,0,,,
ZTJTLSI,0,,,
LJSZITO,0,,,
TLZSOJT,0,,,
JLTIZOT,0,,,
ZOLSTTI,0,,,
JLSTOTZ,0,,,
IJTZTOS,0,,,
LZJIOST,0,,,
OTLTJIS,0,,,
JSLOTZT,0,,,
LTJSOZI,0,,,
SZJLITO,0,,,
JSZTOTL,0,,,
OJTSZIT,0,,,
ZILSTOJ,0,,,
LOJSZIT,0,,,
LTSZTOJ,0,,,
OTIZTLJ,0,,,
TZLJSTO,0,,,
SZTTLJO,0,,,
ILTSZOT,0,,,
ZJISTTO,1,TTIJSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBK+dgCzOBAAvhFWvBZkB9sBToBfqBlqB
IOJTSTZ,0,,,
TZTIOSJ,1,TTIJSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBU+dgCz/AAAvhFVvBZkB9sBToB3lBupB
JTZLSTI,0,,,
TOZLJTS,0,,,
LZOSITJ,0,,,
JLOZSIT,0,,,
OILZJST,0,,,
SJTOLTZ,0,,,
ZTIOJTS,1,TTIJSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBp/dgCzOBAAvhFxuB2uB9sBTtB3qBlpB
TTIJZLO,0,,,
IJSTOTL,0,,,
JIOSZTT,0,,,
TJLOZST,0,,,
TIZSJLT,0,,,
JLOTZTI,0,,,
TOTLIZJ,0,,,
ZTLOTIS,0,,,
OTLJSZT,0,,,
LITZSJT,0,,,
OLSZTJI,0,,,
OZJTITL,0,,,
TZSJTLO,0,,,
LTZOIST,0,,,
TISOZJL,0,,,
SOZTTLI,0,,,
TISLJOT,0,,,
